code,type
CB-GITEX-15-WL2CZC,15
CB-GITEX-15-XHDQ7,15
CB-GITEX-15-36AX,15
CB-GITEX-15-URTW8,15
CB-GITEX-15-D9SX6K,15
CB-GITEX-15-S94PCK,15
CB-GITEX-15-YRMQ3,15
CB-GITEX-15-3XG9,15
CB-GITEX-15-CPQK,15
CB-GITEX-15-54FFH,15
CB-GITEX-15-F64NU,15
CB-GITEX-15-LVXKW4,15
CB-GITEX-15-MMMNK,15
CB-GITEX-15-UEWEHA,15
CB-GITEX-15-LKG46,15
CB-GITEX-15-MKZ27,15
CB-GITEX-15-FWV3,15
CB-GITEX-15-QJV3,15
CB-GITEX-15-4HDQ,15
CB-GITEX-15-PJKQ3,15
CB-GITEX-15-D7RDA2,15
CB-GITEX-15-RZWJRC,15
CB-GITEX-15-ZYDR,15
CB-GITEX-15-ASHW,15
CB-GITEX-15-V5XX,15
CB-GITEX-15-HPTDD9,15
CB-GITEX-15-FGV5V,15
CB-GITEX-15-GC3V,15
CB-GITEX-15-U33EXG,15
CB-GITEX-15-665T,15
CB-GITEX-15-GB7AQ5,15
CB-GITEX-15-UPNJP,15
CB-GITEX-15-F5F5U6,15
CB-GITEX-15-6R2ZUX,15
CB-GITEX-15-3N9ET7,15
CB-GITEX-15-XV3J3,15
CB-GITEX-15-S23SC,15
CB-GITEX-15-5NT9H,15
CB-GITEX-15-4ZNRCS,15
CB-GITEX-15-5SWK,15
CB-GITEX-15-PYAU,15
CB-GITEX-15-3HTL,15
CB-GITEX-15-PMCPM,15
CB-GITEX-15-S5ZGC,15
CB-GITEX-15-S7JC,15
CB-GITEX-15-KRJM,15
CB-GITEX-15-6T5L,15
CB-GITEX-15-AERH,15
CB-GITEX-15-T8PX,15
CB-GITEX-15-VSF7QN,15
CB-GITEX-15-JVZZE,15
CB-GITEX-15-SSZ6G,15
CB-GITEX-15-TAHD,15
CB-GITEX-15-LKVHRM,15
CB-GITEX-15-7G3X,15
CB-GITEX-15-5XPG,15
CB-GITEX-15-HC6PZV,15
CB-GITEX-15-E89A5X,15
CB-GITEX-15-RAS6,15
CB-GITEX-15-NNT9U,15
CB-GITEX-15-KDKVC,15
CB-GITEX-15-RCZFZS,15
CB-GITEX-15-RGGQ,15
CB-GITEX-15-QP3G,15
CB-GITEX-15-M3BC,15
CB-GITEX-15-F6ZQ,15
CB-GITEX-15-4W4P,15
CB-GITEX-15-ET9B6L,15
CB-GITEX-15-BWDJ,15
CB-GITEX-15-A9W8DK,15
CB-GITEX-15-GRUZX6,15
CB-GITEX-15-F9PZ3,15
CB-GITEX-15-HANQT,15
CB-GITEX-15-7XZ8,15
CB-GITEX-15-MK94GN,15
CB-GITEX-15-37NU9Q,15
CB-GITEX-15-TZPUJM,15
CB-GITEX-15-KYPRW,15
CB-GITEX-15-43HL,15
CB-GITEX-15-82GXZ,15
CB-GITEX-15-VQ7M5L,15
CB-GITEX-15-QKDX,15
CB-GITEX-15-TQD69S,15
CB-GITEX-15-QSEQN,15
CB-GITEX-15-FGFD2,15
CB-GITEX-15-4BRLEG,15
CB-GITEX-15-VNYB8,15
CB-GITEX-15-Z83ZRP,15
